icao24,origin_country,velocity,on_ground
a39ab4,United States,228.05,False
a77dae,United States,190.48,False
a12799,United States,212.89,False
7c6233,Australia,84.8,False
a1277b,United States,97.37,False
47b121,Norway,262.32,False
a47408,United States,53.13,False
a2ddac,United States,189.65,False
a24789,United States,215.1,False
a28de3,United States,275.09,False
a5810c,United States,255.95,False
a24782,United States,189.39,False
acdea4,United States,4.37,True
7cc529,Australia,44.53,False
ac486a,United States,187.99,False
a3414e,United States,209.69,False
8a03e5,Indonesia,226.0,False
ac4888,United States,199.36,False
abbedb,United States,72.26,False
ad6884,United States,236.37,False
a8db3b,United States,151.94,False
c0219c,Canada,70.58,False
ac7bf8,United States,248.74,False
3c5c46,Germany,247.56,False
a27aee,United States,205.59,False
a36799,United States,220.48,False
a006d2,United States,94.14,False
e4a542,Brazil,53.84,False
e4a549,Brazil,237.52,False
a4b173,United States,77.23,False
a8a785,United States,237.37,False
a34199,United States,208.76,False
682231,Mongolia,264.44,False
a126c6,United States,4.12,True
a3c9b4,United States,130.51,False
acdf9a,United States,274.63,False
300a62,Italy,314.28,False
300a63,Italy,218.73,False
a04f49,United States,199.67,False
a15c01,United States,63.36,False
a3549d,United States,188.94,False
a126ec,United States,186.26,False
300a41,Italy,185.02,False
300a44,Italy,244.73,False
a96412,United States,269.12,False
ada3f2,United States,33.99,False
a41f37,United States,187.62,False
a113be,United States,141.68,False
781aa6,China,274.63,False
7020ae,Bangladesh,121.9,False
a61797,United States,187.98,False
781aa8,China,3.6,False
7020ac,Bangladesh,0.0,False
0088b8,South Africa,222.22,False
7020b2,Bangladesh,5.4,False
a4b136,United States,89.23,False
ac4801,United States,178.35,False
a379dd,United States,258.34,False
ab6ea5,United States,261.13,False
c04787,Canada,86.89,False
a5e44c,United States,210.26,False
7020bc,Bangladesh,126.76,False
7020c2,Bangladesh,9.1,False
a6178b,United States,68.39,False
4bb2a2,Turkey,189.69,False
e49bfc,Brazil,233.45,False
a83108,United States,224.96,False
aa4ee9,United States,0.45,True
a126e7,United States,220.8,False
a89f0f,United States,54.55,False
a233e7,United States,144.63,False
7cc3b7,Australia,48.37,False
a353d2,United States,246.48,False
8004de,India,289.4,False
a486d8,United States,268.06,False
a3ec4f,United States,194.05,False
8017e4,India,226.61,False
aca9d4,United States,52.32,False
ad79e8,United States,223.49,False
a15c80,United States,207.38,False
ac33a3,United States,148.98,False
abbf49,United States,189.95,False
8017ee,India,208.23,False
a28f80,United States,175.35,False
a593cf,United States,52.6,False
a486b3,United States,236.22,False
ad79eb,United States,202.95,False
a53f20,United States,226.95,False
c07b8c,Canada,222.57,False
a2cc96,United States,58.44,False
884213,Thailand,225.97,False
884214,Thailand,77.11,False
ac33c4,United States,263.59,False
847294,Japan,245.77,False
884206,Thailand,180.43,False
884207,Thailand,228.42,False
884203,Thailand,236.38,False
ac20a1,United States,111.71,False
c81a5a,New Zealand,105.51,False
ac7c52,United States,185.95,False
344345,Spain,278.85,False
ae1f50,United States,35.93,False
ac7c67,United States,5.4,True
c81a90,New Zealand,122.17,False
c81a91,New Zealand,114.72,False
ac212d,United States,276.4,False
ad5460,United States,254.28,False
aaf485,United States,194.06,False
a16ebc,United States,0.9,True
ac3477,United States,237.6,False
aaf47d,United States,247.87,False
acdde3,United States,254.46,False
ac3493,United States,54.21,False
a9d9f2,United States,243.97,False
a5d0f5,United States,54.65,False
840a7c,Japan,101.88,False
4bb323,Turkey,196.52,False
a34209,United States,208.27,False
a0f566,United States,2.31,True
a3ec93,United States,217.63,False
c07b09,Canada,241.67,False
a28ee7,United States,67.32,False
c058dd,Canada,250.71,False
a9a18a,United States,44.02,False
781c50,China,125.64,False
c045f1,Canada,214.26,False
a1286c,United States,220.54,False
7cc686,Australia,37.38,False
ad474c,United States,150.5,False
8a0824,Indonesia,213.05,False
a3338c,United States,125.16,False
7c6361,Australia,96.41,False
ac011d,United States,260.47,False
a32056,United States,256.21,False
4bb21a,Turkey,262.37,False
adddd5,United States,195.88,False
7c6351,Australia,67.86,False
a0c068,United States,58.77,False
ad7ab8,United States,258.03,False
a0c075,United States,0.0,True
ac5ada,United States,11.83,True
